传球完成次数,传球准确度,触球数,传中球数,盘带数,角球数,铲球数,解围数,拦截数,门线解围数,零封数,封堵数,失球数,扑救数,扑救率,赢得犯规,犯规数,越位数,黄牌数,红牌数,替补上场,替补下场,使用球员数
828,0.769,1706,60,42,14,49,83,56,,0,10,3,13,0.813,41,62,2,9,0,9,9,16
1223,0.781,2358,46,68,21,62,98,37,2,1,10,6,9,0.601,53,73,8,7,0,11,11,19
1082,0.833,1873,43,32,16,40,61,59,0,1,10,5,10,0.667,25,38,8,4,0,7,7,15
1200,0.806,2440,58,60,16,86,106,72,1,2,29,3,22,0.881,43,45,6,5,0,11,11,16
1803,0.872,2909,55,76,28,71,76,58,0,1,7,5,6,0.546,36,51,5,6,0,11,11,19
2427,0.874,3761,101,60,35,91,73,69,0,1,11,6,10,0.626,63,49,12,4,0,15,15,17
911,0.767,2016,52,53,10,65,123,87,0,1,23,7,13,0.651,67,48,12,9,1,12,12,20
2531,0.839,4363,75,75,30,98,137,136,1,2,18,7,20,0.741,101,89,16,16,0,18,18,19
1381,0.887,2163,50,49,22,34,41,41,0,0,9,5,12,0.706,35,30,3,5,0,7,7,15
852,0.804,1724,55,39,14,67,87,62,0,0,8,3,6,0.667,48,56,3,7,1,7,7,17
1461,0.772,2958,91,64,41,78,92,86,0,2,11,4,10,0.715,73,90,10,12,0,14,14,16
606,0.712,1433,43,18,8,45,78,43,1,0,23,9,17,0.654,43,51,11,6,1,10,10,17
1345,0.839,2278,40,40,21,65,74,58,0,0,8,3,10,0.77,34,43,4,6,0,7,7,16
3820,0.884,5585,69,106,44,122,102,79,0,5,8,1,15,0.938,102,83,19,11,0,17,17,18
965,0.809,1806,44,29,7,56,54,45,0,1,12,5,8,0.616,35,51,7,7,0,9,9,18
1043,0.817,1894,33,26,18,65,97,29,0,0,4,4,13,0.765,48,31,4,5,0,9,9,18
